Size,BlockSize,MFLOPS_avg,MFLOPS_std,FLOP
32,2,3904.0,633.5676759431466,64512
64,2,4634.825137414905,137.41201542321318,520192
96,2,4288.206476542833,153.0734484538555,1760256
128,2,2851.7288933863815,481.1845720281398,4177920
160,2,4046.733007453142,266.2107991202118,8166400
192,2,3306.3278659959324,247.26407847573273,14118912
224,2,3504.428672759796,128.24915164194942,22428672
256,2,3281.790618063463,85.80747318491578,33488896
288,2,2914.5838562160666,231.27409859159,47692800
320,2,3117.685077713493,289.70213413131415,65433600
352,2,3093.850845826472,166.84411633914425,87104512
384,2,2905.8723984693697,208.75734166619367,113098752
416,2,2939.030206773845,95.66048648438422,143809536
448,2,2736.9050136856226,61.28552274527221,179630080
480,2,2790.723516412901,136.03690046017726,220953600
512,2,2786.6211105081384,137.19969917322297,268173312
544,2,2561.3437338840827,179.36993981348584,321682432
576,2,2619.012552853341,50.5883359453789,381874176
608,2,2650.1376244311145,31.19575126980854,449141760
640,2,2424.5541443863463,125.51948698678476,523878400
672,2,2415.6141130217907,203.14339250267463,606477312
704,2,2407.6676798420003,119.82976760743249,697331712
736,2,2458.1896748678473,76.35433358730478,796834816
768,2,2350.4011936596185,100.33874076154095,905379840
800,2,2421.6332198894065,36.96765594886834,1023360000
832,2,2278.5541050559304,86.29314359824345,1151168512
864,2,2078.061287973819,200.72119124238418,1289198592
896,2,2211.858922189816,66.66348460094181,1437843456
928,2,2135.6028057985754,72.89600052522061,1597496320
960,2,2092.3600735249993,29.334320410114568,1768550400
992,2,1376.3760446335673,7.590680155589101,1951398912
1024,2,833.1251953619276,10.86665156408053,2146435072
32,4,3261.412662090008,331.88267768452306,64512
64,4,3833.9732379248658,259.1294861097216,520192
96,4,3665.2984155114023,195.36249269442553,1760256
128,4,3317.2222318343647,136.8999683150957,4177920
160,4,3412.2541726125273,146.2623130135106,8166400
192,4,2984.320967916227,448.22754063058267,14118912
224,4,3441.3167103426617,62.78720860814416,22428672
256,4,3334.960965481962,65.43474477597705,33488896
288,4,3125.7392315725615,252.89901754947655,47692800
320,4,2864.4420652282934,432.4804445598599,65433600
352,4,2892.939036172885,312.67017874363336,87104512
384,4,3062.5815730636787,142.04534706938978,113098752
416,4,2891.494060531779,278.8391351897065,143809536
448,4,2885.1910785175132,24.12914688332417,179630080
480,4,3096.9520068075612,113.15514702033963,220953600
512,4,3106.6188968372476,95.56550780858458,268173312
544,4,3012.4173403184614,108.29300660361167,321682432
576,4,3096.3423806530063,88.49657781645854,381874176
608,4,2961.519663980504,115.09534846522651,449141760
640,4,2592.5288550354276,575.2396359550289,523878400
672,4,2685.5600466875776,255.11167892320626,606477312
704,4,2897.8990867114867,52.81648936777161,697331712
736,4,2692.288880661046,37.02102016927348,796834816
768,4,2697.982848930358,33.17173207749293,905379840
800,4,2510.9937923168613,179.14519641647064,1023360000
832,4,1956.8830377074155,890.4639738676789,1151168512
864,4,2272.041942178958,133.46149489224214,1289198592
896,4,2444.3366060722824,93.2632303520733,1437843456
